Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0962	18	SC123	NEM2	Change of ELR – High Street Jn	11	60	0	28	"E
R1"	"E
R1"	"E
R1"	Y	"R2
R3"	Y	"R4
R5"	"R1Prohibited between Change of ELR (11m
60ch) and Bellgrove Jn
R2Prohibited  between Change of ELR (11m
60ch) and Airdrie
R3Prohibited Airdrie through platforms
R4
Prohibited between Aidrie and High Street
Jn when laden
R5Prohibited Bellgrove down platform with
deflated suspension"
Scotland	0962	19	SC123	NEM2	High Street Jn – Change of ELR	0	28	0	00	N	N	N	Y	Y	Y	E	
Scotland	0962	20	SC123	NEM3	Change of ELR – Finnieston East Jn	0	00	2	19	N	N	N	Y	Y	Y	E	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0963	1	SC123	NEM3	"Finnieston East Jn – Finnieston West Jn
(Down Line)"	2	19	2	53	N	N	N	Y	Y	Y	E	
Scotland	0963	2	SC123	NEM3	"Finnieston East Jn – Finnieston West Jn
(Up Line)"	2	19	2	53	N	N	N	Y	Y	Y	E	
Scotland	0963	3	SC123	NEM3	Finnieston West Jn – Hyndland North Jn	2	53	4	28	N	N	N	Y	Y	Y	E	
Scotland	0963	4	SC123	NEM3	Hyndland North Jn – Change of ELR	4	28	4	63	N	N	N	Y	Y	Y	E	
Scotland	0963	5	SC123	NEM4	Change of ELR – Knightswood North Jn	0	00	0	74	N	N	N	Y	Y	Y	E	
Scotland	0963	6	SC123	NEM5	"Knightswood North Jn – Change of ELR
(Between Bowling and Dumbarton East)"	5	67	13	40	N	N	N	Y	Y	Y	"R1
R2"	"R125mph Westerton Up platform
R2Prohibited Westerton Up and Down
platforms with deflated suspension"
Scotland	0963	7	SC123	NEM6	"Change of ELR (Between Bowling and
Dumbarton East) – Change of ELR
(Dumbarton East)"	113	46	116	00	N	N	N	Y	Y	Y	Y	
Scotland	0963	8	SC123	NEM7	"Change of ELR (Dumbarton East) –
Craigendoran Jn"	15	51	22	76	N	N	N	Y	Y	Y	Y	
Scotland	0963	9	SC123	NEM7	Craigendoran Jn – Helensburgh Central	22	76	24	31	N	N	N	Y	Y	Y	Y	
Scotland	0963	10	SC125	YKR	Hyndland East Jn – Hyndland West Jn	0	00	0	22	N	N	N	Y	Y	Y	N	
Scotland	0963	11	SC125	YKR	Hyndland West Jn – Dalmuir Park Jn	0	22	4	73	N	N	N	Y	Y	Y	"E
R1"	"R1Prohibited between Yoker CSD and
Dalmuir Park Jn"
Scotland	0963	12	SC129	SGN	Springburn – Bellgrove Jn	0	42	2	58	R1	R1	R1	Y	Y	Y	E	R1Prohibited Springburn platform 4
Scotland	0963	13	SC131	HST	"High Street Jn – Connection to Smithy
Lye Through Line"	0	04	2	00	E	E	E	Y	Y	Y	E	
Scotland	0963	14	SC131	HST	"Connection to Smithy Lye Through Line
– Shields Jn"	2	00	2	35	E	E	E	Y	Y	Y	E	
Scotland	0963	15	SC133	MGE	Westerton Jn – Milngavie	6	19	9	35	N	N	N	Y	Y	Y	"E
R1"	"R1Prohibited between Bearsden and
Milngavie"
Scotland	0963	16	SC135	BCH	Dalreoch Jn – Balloch	16	39	20	38	N	N	N	Y	Y	Y	N	
Scotland	0963	17	SC136	HYD	Hyndland North Jn – Hyndland West Jn	0	00	0	16	N	N	N	N	N	N	N	
Scotland	0963	18	SC141	WHL	Craigendoran Jn – Crianlarich Jn	0	01	36	30	N	N	N	Y	Y	Y	N	
Scotland	0963	19	SC141	WHL	Crianlarich Jn – Fort William	36	30	99	37	N	N	N	Y	Y	Y	N	
Scotland	0963	20	SC143	OBN1	Crianlarich Jn – Lower Crianlarich GF	0	00	0	44	N	N	N	Y	Y	Y	N	
Scotland	0963	21	SC143	OBN2	"Lower Crianlarich GF – Inverhaggernie
No.1 LC"	30	23	31	00	N	N	N	Y	Y	Y	N	
Scotland	0963	22	SC143	OBN2	Inverhaggernie No.1 LC – Oban	31	00	71	44	N	N	N	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0964	1	SC145	MLG1	Fort William – Change of ELR	0	05	1	27	N	N	N	Y	Y	Y	N	
Scotland	0964	2	SC145	MLG2	Change of ELR – Mallaig	0	00	39	39	N	N	N	Y	Y	Y	N	
Scotland	0964	3	SC147	ECM8	"Route Boundary (LN600) (Heaton South
Jn) – Prestonpans Jn"	69	67	9	67	Y	Y	Y	Y	Y	Y	Y	
Scotland	0964	4	SC147	ECM8	Prestonpans Jn – Calton South Tunnel	9	67	0	29	Y	Y	Y	Y	Y	Y	Y	
Scotland	0964	5	SC147	ECM9	"Calton South Tunnel –  Waverley East
End"	0	29	0	21	Y	Y	Y	Y	Y	Y	Y	
Scotland	0964	6	SC147	ECM9	"Waverley East End – Edinburgh
Waverley"	0	21	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0964	7	SC147	EGM4	"Edinburgh Waverley – Waverley West
End (South Lines)"	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0964	8	SC147	ECN1	"Edinburgh Waverley – Waverley West
End (North Lines)"	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0964	9	SC147	EGM3	"Waverley West End – Haymarket (South
Lines)"	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0964	10	SC147	ECN2	"Waverley West End – Haymarket (North
Lines)"	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0964	11	SC147	EGM2	"Haymarket – Haymarket East Jn (South
Lines)"	46	02	45	72	N	N	N	Y	Y	Y	Y	
Scotland	0964	12	SC147	ECN2	"Haymarket – Haymarket East Jn (North
Lines)"	1	19	1	29	N	N	N	Y	Y	Y	Y	
Scotland	0964	13	SC147	EGM2	"Haymarket East Jn – Haymarket Central
Jn (South Lines)"	45	72	45	35	N	N	N	Y	Y	Y	Y	
Scotland	0964	14	SC147	ECN2	"Haymarket East Jn – Haymarket Central
Jn (North Lines)"	1	29	1	66	N	N	N	Y	Y	Y	Y	
Scotland	0964	15	SC147	EGM2	"Haymarket Central Jn – Haymarket West
Jn (South Lines)"	45	35	44	73	N	N	N	Y	Y	Y	Y	
